,Y,N,X,T,D,P,O,S,L,E,C
0,2.52,2.16,449.9741,2334.26,2028.48,7.9911,3.4648,36.2182,1686.0,27.27,0.374
1,0.48,2.16,351.3229,2377.38,2023.18,8.0853,3.932,36.4796,1613.0,25.43,0.374
2,1.75,2.16,394.8383,2363.13,2038.04,8.0425,3.6244,36.5146,2153.0,25.38,0.374
3,2.53,2.16,405.9407,2352.53,2036.16,8.0312,3.5285,36.5081,1949.0,25.31,0.374
4,2.3,-1.475,389.2592,2361.08,2035.02,8.0472,3.6233,36.6043,1803.0,25.12,0.337
5,2.86,-1.475,364.9761,2355.81,2037.41,8.0711,3.4931,36.6364,1317.3,22.73,0.402
6,0.7,-1.475,338.2605,2387.58,2063.03,8.1044,3.5364,36.6605,1043.3,20.85,0.353
7,0.93,-0.045,310.1432,2388.09,2067.21,8.1369,3.4513,36.7291,581.9,18.28,0.39
8,0.3,-0.045,306.9025,2394.58,2066.78,8.1414,3.5313,36.7059,818.2,18.67,0.39
9,0.82,-0.045,337.2616,2386.17,2072.3,8.1062,3.4062,36.6741,2915.3,19.6,0.39
10,0.42,1.074,345.3338,2392.98,2079.34,8.0985,3.4146,36.6841,3639.1,20.0,0.403
11,0.58,2.192,318.5436,2393.56,2071.275,8.1279,3.4831,36.6755,3264.4,19.0,0.404
12,1.49,2.192,336.1218,2381.24,2058.555,8.1058,3.5088,36.6789,4821.1,20.61,0.404
13,-0.31,-0.314,343.4399,2406.71,2072.055,8.1008,3.6651,36.7444,4722.6,21.88,0.39
14,3.47,-0.314,385.8357,2360.26,2060.59,8.0526,3.2853,36.7769,6109.3,21.75,0.39
15,2.76,-0.314,372.092,2372.25,2050.925,8.0661,3.5322,36.7951,4662.4,23.08,0.39
16,3.47,-0.314,401.6157,2363.94,2052.805,8.0371,3.4441,36.7833,5438.1,24.0,0.39
17,4.35,-0.768,417.0266,2362.56,2054.175,8.0228,3.4234,36.8806,2634.3,24.59,0.379
18,2.09,4.31,395.1076,2374.72,2036.13,8.0419,3.7778,36.8256,3583.5,26.47,0.266
19,3.48,4.31,467.9223,2351.24,2045.47,7.9782,3.4587,36.73,5434.4,27.55,0.266
20,4.13,1.086,535.2337,2321.37,2045.82,7.9263,3.1675,36.32,3799.0,28.23,0.329
21,5.05,1.086,436.5987,2330.22,2011.17,7.9992,3.591,36.65,1741.9,27.88,0.329
22,1.58,2.292,466.9223,2364.05,2054.54,7.9815,3.5216,36.48,1132.2,27.82,0.396
23,5.02,2.292,487.8428,2323.73,2036.11,7.96,3.2595,36.53,3997.7,27.16,0.396
24,6.97,2.292,524.0637,2298.84,2027.12,7.9301,3.0939,36.53,963.6,27.56,0.396
25,6.63,2.292,491.0215,2306.05,2015.71,7.954,3.2928,36.57,3684.3,28.03,0.396
26,6.57,2.292,470.4383,2310.41,2006.39,7.9693,3.4408,36.62,2415.5,28.47,0.396
27,5.79,2.292,439.9887,2320.28,2002.18,7.9947,3.5845,36.61,3403.1,28.22,0.396
28,6.35,2.292,446.0823,2313.73,1998.21,7.9886,3.558,36.62,3063.2,28.41,0.396
29,4.92,-0.494,423.3301,2328.39,2018.385,8.0119,3.4674,36.51,1591.5,26.16,0.391
30,2.97,-0.308,370.6652,2371.75,2029.12,8.0651,3.7981,36.74,783.62,25.44,0.4
31,1.58,-0.308,364.9582,2378.72,2040.82,8.0733,3.7449,36.52,378.73,24.51,0.4
32,1.64,-0.308,390.6944,2371.19,2049.6,8.0486,3.5828,36.4,872.98,24.61,0.4
33,2.74,-0.308,369.6723,2364.96,2040.315,8.0675,3.5838,36.53,1436.1,23.63,0.4
34,2.05,0.189,357.857,2376.97,2058.81,8.0823,3.4866,36.6,773.33,21.78,0.374
35,2.07,-0.595,363.474,2380.19,2077.89,8.0785,3.3033,36.6005,1210.7,20.28,0.398
36,1.97,-0.592,364.1884,2380.08,2076.975,8.0777,3.3143,36.5897,1592.3,20.43,0.447
37,1.65,-0.698,374.2521,2375.24,2081.465,8.0674,3.2141,36.5856,710.47,20.12,0.367
38,2.07,-0.698,333.6474,2374.69,2055.995,8.1079,3.4587,36.635,4009.7,20.15,0.367
39,1.29,-0.687,342.9814,2377.53,2057.89,8.098,3.4822,36.6502,5058.6,20.86,0.337
40,3.51,-0.504,424.419,2341.52,2048.87,8.0148,3.2523,36.5662,3671.7,23.83,0.293
41,3.8,-0.504,442.8568,2337.65,2043.53,7.9981,3.2906,36.5676,3430.7,25.16,0.293
42,1.66,-1.475,443.3759,2359.97,2071.2,8.0022,3.2328,36.4893,5977.0,24.11,0.312
43,1.72,-1.475,376.0802,2362.79,2040.67,8.0609,3.5593,36.5568,823.07,23.8,0.312
44,4.31,-1.475,450.754,2312.8,1993.09,7.9851,3.6463,36.169,3360.7,29.5,0.418
45,4.3,-1.475,515.5149,2319.92,2032.99,7.9392,3.2948,36.2696,2665.3,28.75,0.344
